BULAN;Rerata_Harga_Beras;Kuantitas_Impor
Jan-14;10972,98;31729206
Feb-14;11138,96;2200000
Mar-14;11264,13;26867648
Apr-14;11433,03;31145532
May-14;10999,99;34796000
Jun-14;11048,53;49539112
Jul-14;11116,71;9140000
Aug-14;11157,8;73690784
Sep-14;11221,68;81730904
Oct-14;11252,43;93028616
Nov-14;11370,06;177874576
Dec-14;11531,2;232421376
Jan-15;12105,66;16675984
Feb-15;12119,84;7912000
Mar-15;12506,34;41974932
Apr-15;12695,81;38788000
May-15;11807,57;20903235
Jun-15;11968,67;68175175
Jul-15;12085,91;27228655
Aug-15;12131,62;3371126
Sep-15;12304,34;4582000
Oct-15;12550,77;21092525
Nov-15;12557,73;318916870
Dec-15;12689,9;291980500
Jan-16;12715,41;382546178
Feb-16;12856,61;296371000
Mar-16;12948,53;303075556
Apr-16;12815,86;36579487
May-16;12542,09;28947140
Jun-16;12463,51;26193908
Jul-16;11958,9;16343930
Aug-16;11181,01;38490002
Sep-16;10912,11;17771816
Oct-16;10860,35;17202913
Nov-16;10879,76;33804597
Dec-16;10906,85;85852000
Jan-17;10935,06;12473240
Feb-17;10953,19;2000000
Mar-17;11249,52;31424850
Apr-17;12017,85;25508015
May-17;12813,39;23286390
Jun-17;12618,56;36300104
Jul-17;12701,23;56967420
Aug-17;12705,84;2500008
Sep-17;12620,52;8100563
Oct-17;12840,91;18200114
Nov-17;12921,76;39798912
Dec-17;12990,89;48715070
Jan-18;13337,84;13176000
Feb-18;13536,39;272898212
Mar-18;14276,17;97634186
Apr-18;13492,49;165348422
May-18;13437,76;346978953
Jun-18;13293,91;223762031
Jul-18;13249,2;333179184
Aug-18;13235,07;326837000
Sep-18;13235,46;236258600
Oct-18;13321,77;123659400
Nov-18;13454,51;62991037
Dec-18;13495,38;51101440
Jan-19;13660,48;8741233
Feb-19;13820,75;12500100
Mar-19;13780,71;46920430
Apr-19;13652,1;56780318
May-19;13403,58;41716908
Jun-19;13409,29;37090000
Jul-19;13423,31;17859819
Aug-19;13418,17;23230018
Sep-19;13409,04;35015910
Oct-19;13440,75;15671004
Nov-19;13451,37;47695738
Dec-19;13453,72;101287313
Jan-20;12707,01;14400010
Feb-20;11957,18;20000000
Mar-20;11649,94;24500353
Apr-20;11580,98;29983760
May-20;11673,76;37030094
Jun-20;11609,57;32623169
Jul-20;11590,83;46541672
Aug-20;11563,46;36985095
Sep-20;11568,83;20127673
Oct-20;11552,29;19664065
Nov-20;11551,16;37566578
Dec-20;11514,81;56863773
Jan-21;11522,35;23868260
Feb-21;11537;8015077
Mar-21;11532,86;28439007
Apr-21;11504,3;23069620
May-21;11468,32;53258295
Jun-21;11446,16;64635293
Jul-21;11447,79;41596410
Aug-21;11405,47;34632742
Sep-21;11374,36;15773551
Oct-21;11393,62;28830021
Nov-21;11386,11;30839709
Dec-21;11392,48;54783438
Jan-22;11449,69;37485010
Feb-22;11562,86;5075013
Mar-22;11559,02;8848025
Apr-22;11535,39;10078048
May-22;11536,98;15792030
Jun-22;11522,85;49205005
Jul-22;11501;48690762
Aug-22;11514,54;66267253
Sep-22;11675,09;47266000
Oct-22;11848,1;12999012
Nov-22;11976,49;24743984
Dec-22;12092,9;102757126
Jan-23;12437,5;243656300
Feb-23;12668,88;212718900
Mar-23;13006,93;55527935
Apr-23;13075,83;88433850
May-23;13158,09;253953840
Jun-23;13169,27;212804541
Jul-23;13215,05;265774525
Aug-23;13245,91;259178670
Sep-23;13510,31;194359649
Oct-23;13990,6;311934115
Nov-23;14307,39;432707138
Dec-23;14413,5;531808142
Jan-24;14452,32;442112997
Feb-24;14544,36;438705849
Mar-24;14861,9;567210716
Apr-24;15191,45;370291254
May-24;15256,73;447844300
Jun-24;15933,39;376791010
Jul-24;17085,71;208801297