Periode ke-,Wind speed (knot)
1,3.6
2,5.1
3,5.1
4,3.9
5,6.2
6,5.1
7,5.5
8,4.7
9,5.5
10,4.6
11,4.1
12,4.5
13,3.9
14,5.6
15,5
16,5.9
17,8.7
18,5.5
19,4
20,9.4
21,6
22,4.9
23,5
24,6.5
25,4.6
26,2.9
27,4.6
28,4.1
29,4.4
30,4.4
31,6.4
32,4.6
33,4.2
34,4.7
35,4.9
36,4.7
37,4.5
38,5.5
39,4.9
40,4.1
41,4.6
42,5.4
43,4.8
44,4.6
45,4.9
46,4.5
47,6.5
48,6.7
49,6.8
50,5.5
51,4.7
52,5.2
53,4.9
54,5.9
55,5.3
56,5.3
57,5
58,4.4
59,3.8
60,4.8
61,4.9
62,4.8
63,4.1
64,4
65,3.6
66,3.7
67,4.3
68,5
69,7.2
70,6.5
71,5.4
72,4.9
73,4.4
74,4.7
75,6.1
76,5.4
77,6
78,4.9
79,5.1
80,5.7
81,6.7
82,4.9
83,4.9
84,4.3
85,5.5
86,6
87,5.8
88,5.1
89,6.4
90,4.7
91,5.6
92,5
93,6.2
94,4.2
95,4.8
96,5.4
97,3.9
98,7
99,6.6
100,5.3
101,4.7
102,8.1
103,5.3
104,4.6
105,4.9
106,4.8
107,5
108,7.1
109,2.4
110,3.3
111,4.6
112,4.9
113,4.8
114,5.6
115,6.6
116,1
117,5.6
118,5.2
119,5.3
120,4.8
121,5.5
122,7.1
123,4.8
124,6.7
125,5.8
126,6.5
127,5.5
128,5
129,6.3
130,6.1
131,5.3
132,5.8
133,5.1
134,5.7
135,5.9
136,5.3
137,5.6
138,4.7
139,5.3
140,5.3
141,6.8
142,7
143,5.2
144,5.6
145,4.7
146,6.5
147,4.7
148,5.1
149,6
150,6.9
151,4.2
152,5.4
153,5.5
154,3.9
155,4.9
156,5.7
157,5.5
158,5.8
159,3.6
160,4.7
161,3.8
162,4.1
163,5.2
164,4.8
165,4.9
166,4.6
167,3.8
168,4.2
169,6.1
170,7.4
171,6.3
172,5.8
173,4.8
174,6.7
175,4.5
176,4.2
177,5.1
178,4.7
179,4
180,4.8
181,3.5
182,4.3
183,3.5
184,4.2
185,4.1
186,2.3
187,5
188,3.8
189,4.4
190,5
191,3.5
192,3.9
193,3.6
194,3.8
195,5.5
196,4
197,3.6
198,5
199,3.3
200,4.3
201,3.6
202,3.8
203,2.4
204,3.7
205,5.5
206,4.2
207,3
208,3.5
209,3.5
210,4
211,5.1
212,5.2
213,6
214,5.6
215,5.8
216,4.7
217,3.6
218,5.3
219,4.7
220,4.7
221,4.2
222,3.4
223,4.6
224,5.2
225,5.7
226,5
227,3.8
228,6.5
229,5.3
230,4
231,5.6
232,4.9
233,3.6
234,2.6
235,4.6
236,6
237,5
238,6
239,5
240,8.8
241,6.9
242,5.7
243,4.2
244,7.5
245,3.2
246,4.6
247,4.3
248,4
249,3.4
250,6.2
251,4.5
252,5.8
253,3.4
254,3.9
255,4.3
256,3.7
257,3.5
258,4.3
259,4.3
260,4.1
261,4.3
262,4.3
263,4.3
264,4.3
265,4.2
266,4.4
267,4.7
268,3.9
269,4.5
270,3.9
271,5.2
272,6.8
273,3.6
274,4.3
275,6
276,2.9
277,4.1
278,4.5
279,4.8
280,2.3
281,3.5
282,3.6
283,3.5
284,4.6
285,7
286,7
287,5
288,4.5
289,3.1
290,3.5
291,3.6
292,3.9
293,4.8
294,5.9
295,7.2
296,3.9
297,2
298,3.3
299,3.7
300,4.2
301,2.8
302,3.8
303,4.4
304,3.4
305,4
306,3.7
307,5.3
308,4.2
309,4.9
310,3.8
311,4.1
312,4.8
313,4.1
314,4
315,3.7
316,3.8
317,3.7
318,5.3
319,3.2
320,3.2
321,4.1
322,5.4
323,6.7
324,6.1
325,7.6
326,7.9
327,6.9
328,5.5
329,5
330,4.1
331,5.8
332,5.5
333,4.1
334,5.3
335,4.1
336,3.9
337,4.3
338,3.7
339,3.9
340,4.4
341,4.9
342,5.1
343,5
344,4.4
345,5.6
346,5.2
347,6
348,6.7
349,6
350,3.5
351,3.9
352,4.2
353,4.9
354,6.1
355,5.3
356,5.4
357,5.8
358,6.1
359,5.2
360,4.2
361,6.9
362,8.1
363,7.1
364,4.9
365,5.6
366,3.8
367,3.5
368,3.1
369,3.9
370,6.1
371,7.7
372,6.8
373,4.7
374,3.2
375,4.3
376,4.7
377,4.4
378,4.5
379,3.3
380,5.3
381,6.1
382,6.8
383,6.2
384,3.9
385,3.9
386,6.2
387,5.1
388,5.3
389,5.2
390,6.8
391,5.9
392,3.9
393,4.2
394,5
395,5.4
396,5.7
397,5.6
398,6.2
399,6.3
400,6.9
401,6.9
402,7.7
403,6.9
404,4.9
405,6.1
406,6.5
407,6
408,4.8
409,6
410,5.1
411,5.3
412,5.6
413,5.9
414,7.6
415,5.9
416,4.5
417,5.1
418,3.9
419,5.6
420,7
421,4.9
422,4.5
423,5.4
424,5.9
425,6
426,4.9
427,6.1
428,5.9
429,6.9
430,4.2
431,4
432,6.5
433,5.5
434,5.1
435,6.6
436,6.3
437,6.2
438,8.7
439,8.7
440,7
441,6.6
442,6.3
443,5.6
444,4.5
445,4.2
446,6.1
447,8.9
448,5.3
449,4.9
450,4.9
451,4.7
452,5.8
453,5.5
454,7.5
455,6.2
456,6.7
457,7.7
458,5.8
459,6.5
460,6.4
461,6.1
462,5.3
463,5.1
464,5.9
465,5.4
466,7.4
467,7.8
468,6
469,5.4
470,6.2
471,6.6
472,7.3
473,7.9
474,7.5
475,5.3
476,5.8
477,6.2
478,5.5
479,5.6
480,7.9
481,7.1
482,6.1
483,6
484,7
485,5.4
486,6.3
487,5.9
488,5.3
489,5.7
490,6.1
491,5.8
492,5
493,5.1
494,5
495,6.6
496,6
497,6
498,6.2
499,5.4
500,4.2
501,4.6
502,6.5
503,5.9
504,5.8
505,5.7
506,5.8
507,6.4
508,7.4
509,4.8
510,5
511,6.9
512,5.1
513,5.4
514,5.6
515,5
516,6
517,7.1
518,5.8
